status,method,next_path,openapi_path,file
present,PATCH,/api/admin/payment-gateways/[id],/api/admin/payment-gateways/{id},D:\voltium\web\src\app\api\admin\payment-gateways\[id]\route.ts
present,GET,/api/admin/plans,/api/admin/plans,D:\voltium\web\src\app\api\admin\plans\route.ts
present,POST,/api/admin/plans,/api/admin/plans,D:\voltium\web\src\app\api\admin\plans\route.ts
present,PUT,/api/admin/plans,/api/admin/plans,D:\voltium\web\src\app\api\admin\plans\route.ts
present,DELETE,/api/admin/plans,/api/admin/plans,D:\voltium\web\src\app\api\admin\plans\route.ts
present,GET,/api/admin/reconciliation,/api/admin/reconciliation,D:\voltium\web\src\app\api\admin\reconciliation\route.ts
present,GET,/api/admin/referrals,/api/admin/referrals,D:\voltium\web\src\app\api\admin\referrals\route.ts
present,POST,/api/admin/referrals,/api/admin/referrals,D:\voltium\web\src\app\api\admin\referrals\route.ts
present,POST,/api/admin/rentals/book-on-behalf,/api/admin/rentals/book-on-behalf,D:\voltium\web\src\app\api\admin\rentals\book-on-behalf\route.ts
present,GET,/api/admin/rentals,/api/admin/rentals,D:\voltium\web\src\app\api\admin\rentals\route.ts
present,PUT,/api/admin/rentals,/api/admin/rentals,D:\voltium\web\src\app\api\admin\rentals\route.ts
present,GET,/api/admin/rewards,/api/admin/rewards,D:\voltium\web\src\app\api\admin\rewards\route.ts
present,POST,/api/admin/rewards,/api/admin/rewards,D:\voltium\web\src\app\api\admin\rewards\route.ts
present,PUT,/api/admin/rewards,/api/admin/rewards,D:\voltium\web\src\app\api\admin\rewards\route.ts
present,DELETE,/api/admin/rewards,/api/admin/rewards,D:\voltium\web\src\app\api\admin\rewards\route.ts
present,PUT,/api/admin/rewards/[id],/api/admin/rewards/{id},D:\voltium\web\src\app\api\admin\rewards\[id]\route.ts
present,DELETE,/api/admin/rewards/[id],/api/admin/rewards/{id},D:\voltium\web\src\app\api\admin\rewards\[id]\route.ts
present,POST,/api/admin/riders/actions,/api/admin/riders/actions,D:\voltium\web\src\app\api\admin\riders\actions\route.ts
present,GET,/api/admin/riders/bulk,/api/admin/riders/bulk,D:\voltium\web\src\app\api\admin\riders\bulk\route.ts
present,POST,/api/admin/riders/bulk,/api/admin/riders/bulk,D:\voltium\web\src\app\api\admin\riders\bulk\route.ts
present,GET,/api/admin/riders,/api/admin/riders,D:\voltium\web\src\app\api\admin\riders\route.ts
present,POST,/api/admin/riders,/api/admin/riders,D:\voltium\web\src\app\api\admin\riders\route.ts
present,PUT,/api/admin/riders,/api/admin/riders,D:\voltium\web\src\app\api\admin\riders\route.ts
present,DELETE,/api/admin/riders,/api/admin/riders,D:\voltium\web\src\app\api\admin\riders\route.ts
present,POST,/api/admin/riders/[id]/data-deletion/approve,/api/admin/riders/{id}/data-deletion/approve,D:\voltium\web\src\app\api\admin\riders\[id]\data-deletion\approve\route.ts
present,POST,/api/admin/riders/[id]/data-deletion/restore,/api/admin/riders/{id}/data-deletion/restore,D:\voltium\web\src\app\api\admin\riders\[id]\data-deletion\restore\route.ts
